Region,Pending,Qualified,Unqualified
East,1,12,39
East - Essex,2,5,10
East - Norfolk,0,13,4
East - Norwich City,1,10,32
East - Suffolk,0,3,2
East Midlands,0,7,45
East Midlands  - Northamptonshire,1,1,7
East Midlands - Derbyshire,1,8,43
East Midlands - Leicestershire,3,4,35
East Midlands - Nottinghamshire,3,3,14
London,5,17,84
North East,10,27,102
North East - County Durham,2,5,14
North East - Northumberland,0,14,1
North East - Whitby,0,5,0
North West,5,15,100
North West - Cumbria,1,3,7
North West - Greater Manchester,6,11,49
North West - Lake District,0,1,1
North West - Liverpool,7,26,48
North West - Manchester,2,11,49
Northern Ireland,0,0,4
Other,2,2,1
Outside UK,0,0,21
Peak District,0,4,4
Scotland,1,10,18
South East,4,22,51
South East - Brighton,0,15,25
South East - Kent,1,9,23
South East - Sussex,0,1,12
South West,9,18,99
South West - Cornwall,2,6,8
South West - Devon,0,4,2
South West - Dorset,0,6,10
South West - Gloucestershire,0,0,3
Unknown,3,0,70
Wales,1,4,13
West Midlands,5,6,29
West Midlands - Birmingham,3,8,36
West Midlands - Coventry,0,1,3
West Midlands - Worcestershire,1,6,17
Yorkshire & Humber,4,19,27
Yorkshire & Humber - Leeds,4,4,23
Yorkshire & Humber - North Yorkshire Coast,2,30,21
Yorkshire & Humber - York,1,5,18
Yorkshire & Humber - Yorkshire Dales,0,1,0
