UTM_Campaign,Unqualified,Qualified,Pending
****NEWADS**** HOST | TOF | CORE AREAS & OTHER NATIONAL | LEAD FORMS,1,0,0
****NEWADS**** HOST | TOF | CORE AREAS & OTHER NATIONAL | WEBSITE LEADS,0,4,0
****NEWADS**** HOST | TOF | LOC-FC AREAS | LEADS,3,2,1
****NEWADS**** HOST | TOF | LOCATION ALL | SERVICES | TRAFFIC,3,0,0
****NEWADS**** HOST | TOF | LOCATION CORE AREAS & LOC-OTHER NATIONAL | LEAD FORMS,0,3,0
****NEWADS**** HOST | TOF | LOCATION CORE AREAS & LOC-OTHER NATIONAL | LEADS,14,5,4
****NEWADS**** HOST | TOF | LOCATION FC AREAS | LEADS,1,3,0
****NEWADS**** HOST | TOF | LOCATION OOA AREAS | LEADS,6,6,1
120215277284830283,0,1,1
120215439604710283,1,0,0
120223181763840283,1,2,1
Airbnb_Broad_Match,0,1,0
"BRAND OUTREACH (EXCL. CORE, FC & OOA) | HOLIDAY LETS | LEAD GEN ADS (LEAD FORM) - OTHER & OOA REGIONS FORM",2,0,0
"BRAND OUTREACH (EXCL. CORE, FC, OOA & LONDON) | SERVICED ACCOMMODATION | LEAD GEN ADS (LEAD FORM) - SERVICED ACCOMMODATION FORM - OOA & OTHER AREAS",19,7,0
BRAND_ADS_ESTABLISHED_BROAD,92,16,10
BRAND_ADS_ESTABLISHED_EXACT,13,6,0
BRAND_ADS_ESTABLISHED_PHRASE,13,3,1
BRAND_AWARENESS_BROADMATCH,61,10,7
BRAND_AWARENESS_EXACTMATCH,89,9,3
BRAND_AWARENESS_PHRASEMATCH,6,3,0
BRIGHTON FORM,1,0,0
BRIGHTON | LOCATION FC | LEADS | RETARGETING - RETARGETING FORM - 17TH MARCH 2025 V2,0,0,1
BRIGHTON_HOUSEKEEPING_BROADMATCH,1,0,0
BRIGHTON_LOCAL_EXPERTS_BROADMATCH,2,0,0
BRIGHTON_SEARCH_DYNAMIC_ADS,1,0,0
COMPETITORS_EXACT_MATCH,0,1,0
COMPETITORS_PHRASE_MATCH,37,0,5
COMPLIANCE_BROADMATCH,2,1,0
CORE & FC AREAS (EXCL. OOA & LONDON) | SERVICED ACCOMMODATION | LEAD GEN ADS (LEAD FORM) - SERVICED ACCOMMODATION FORM,32,15,4
CORE AREAS (EXCL. FC & OOA) | HOLIDAY LETS | LEAD GEN ADS (LEAD FORM) - CORE REGIONS FORM,5,0,0
CORE REGIONS FORM,1,2,0
Chris Donaldson | BT40 2QJ,0,1,0
DORSET FORM,2,0,0
DORSET_SEARCH_AIRBNB_PHRASE,1,1,0
DORSET_SEARCH_AIR_B_AND_B_PHRASE,2,2,0
DORSET_SEARCH_BROAD,3,0,0
DORSET_SEARCH_PHRASE,1,0,0
DORSET_SEARCH_SERVICED_ACCOMMODATION_BROAD,2,0,0
FIRE_SAFETY_BROADMATCH,2,0,0
FIRE_SAFETY_PHRASEMATCH,0,2,0
GLOUCESTER_SEARCH_BROAD,5,1,0
HOST | TOF | LOCATION NATIONAL | CS-VIDEOS | LEADS,5,1,2
HOST_BRAND_CAMPAIGN_sitelinks,1,1,1
HOST_DISPLAY_BRIGHTON_ADS_CAMPAIGN,1,0,0
HOST_DISPLAY_DORSET_ADS_CAMPAIGN,33,0,1
HOST_NATIONAL_DISPLAY_NATIONAL_ADS_CAMPAIGN,5,0,0
HOST_NATIONAL_DISPLAY_NORTHUMBERLAND_ADS_CAMPAIGN,48,0,4
HOST_NATIONAL_SEARCH_CAMPAIGN,40,4,3
HOST_NATIONAL_SEARCH_HOLIDAYLETAGENCY_BROAD,2,0,0
HOST_NORFOLK_AD_BROAD,7,1,0
HOST_NORFOLK_SEARCH_CAMPAIGN,1,3,0
HOST_PEAKDISTRICT_SEARCH_AIR_B_AND_B_CAMPAIGN,1,2,0
HOST_PEAKDISTRICT_SEARCH_BROAD_CAMPAIGN,3,1,0
HOST_PEAKDISTRICT_SEARCH_HOLIDAY_LETTING_BROAD_CAMPAIGN,0,1,0
HOST_SEARCH_BRIGHTON_BROAD,26,1,0
HOST_SEARCH_KENT_BROAD,8,2,0
HOST_SEARCH_KENT_PHRASE,3,1,1
HOST__DISPLAY_KENTSUSSEX_ADS_CAMPAIGN,10,0,0
HOST__DISPLAY_LAKEDISTRICT_ADS_CAMPAIGN,15,0,0
HOST__DISPLAY_LIVERPOOL_ADS_CAMPAIGN,21,0,0
HOST__DISPLAY_MANCHESTER_ADS_CAMPAIGN,50,1,0
HOST__DISPLAY_NORFOLK_ADS_CAMPAIGN,48,2,3
HOST__DISPLAY_PEAKDISTRICT_ADS_CAMPAIGN,53,1,6
HOST__DISPLAY_WORCESTER_MIDLANDS_ADS_CAMPAIGN,52,0,5
HOST_pagelinks,1,1,0
HOUSEKEEPING | LOCATION CORE & FC | WEBSITE TRAFFIC & LEAD GEN FORM ADS - CORE REGIONS FORM,3,0,0
Holiday_Home_Broad_Match,4,0,0
Holiday_Let_Local_Experts_Broad_Match,13,0,0
Imtiaz Shah | M21 7NN,1,0,0
KENT_HOUSEKEEPING_BROADMATCH,0,1,0
LAKE DISTRICT | LOCATION OOA | LEADS | RETARGETING - RETARGETING FORM - 17TH MARCH 2025 V2,0,1,0
LAKE_DISTRICT_AD_BROAD,1,1,0
LIVERPOOL_BROAD_MATCH,2,0,1
LIVERPOOL_PHRASE_MATCH,2,2,0
LOCATION CORE | LIVERPOOL | LEAD GEN ADS (LEAD FORM) EX-FC - LIVERPOOL FORM,1,1,0
LOCATION FC AREAS | BRIGHTON | LEAD GEN ADS (LEAD FORM) - Brighton 2024 Form - 24/10/2024,6,3,0
LOCATION FC AREAS | NORFOLK | LEAD GEN ADS (LEAD FORM) - NORFOLK FORM,8,4,0
LOCATION FC AREAS | PEAK DISTRICT | LEAD GEN ADS (LEAD FORM) - Peak District 2024 Form - 13/09/2024,3,3,0
LOCATION FC AREAS | WORCESTER | LEAD GEN ADS (LEAD FORM) - OTHER & OOA REGIONS FORM,1,3,1
LOCATION OOA AREAS | LAKE DISTRICT | LEAD GEN ADS (LEAD FORM) - Lake District 2024 Form - 12/09/2024,5,4,0
LOCATION OOA AREAS | MANCHESTER | LEAD GEN ADS (LEAD FORM) - MANCHESTER FORM,7,6,2
Lake District 2024 Form - 12/09/2024,1,0,0
MAIN HOST PAGE | LOCATION CORE | LEADS | RETARGETING - RETARGETING FORM - 17TH MARCH 2025 V2,27,12,2
MAIN HOST PAGE | LOCATION CORE | LEADS | RETARGETING - RETARGETING FORM - MARCH 2025,4,2,0
MAIN HOST PAGE | LOCATION CORE | LEADS | RETARGETING - RETARGETING FORM 2025,17,3,1
MANCHESTER FORM,1,2,0
MANCHESTER_SA_THEME_BROAD,5,0,0
MANCHESTER_THEME_BROAD,9,0,1
MANCHESTER_THEME_PHRASE,3,0,0
NATIONAL_ADS_SERVICED_ACCOMMODATION_BROAD,17,2,2
NATIONAL_ADS_SERVICED_ACCOMMODATION_HOUSEKEEPING_BROAD,8,2,2
NATIONAL_ADS_SERVICED_ACCOMMODATION_HOUSEKEEPING_PHRASE,0,0,1
NATIONAL_ADS_SERVICED_ACCOMMODATION_PROPERTY_MANAGEMENT_BROAD,49,2,3
NATIONAL_ADS_SERVICED_ACCOMMODATION_PROPERTY_MANAGEMENT_PHRASE,1,1,0
NORFOLK FORM,1,2,0
NORTHEAST_KEYWORD_BROADMATCH,3,0,1
NORTHEAST_KEYWORD_PHRASEMATCH,12,1,3
NORTHUMBERLAND_KEYWORD_BROADMATCH,7,0,2
NORTHUMBERLAND_KEYWORD_PHRASEMATCH,1,0,0
NORTHYORKSHIRE_GENERIC_KEYWORD_BROADMATCH,18,2,2
NORTHYORKSHIRE_GENERIC_KEYWORD_PHRASEMATCH,1,0,0
PEAK_DISTRICT_HOUSEKEEPING_BROADMATCH,5,0,0
PEAK_DISTRICT_LOCAL_EXPERTS_BROADMATCH,1,0,0
PEAK_DISTRICT_MAINTENANCE_BROADMATCH,0,1,0
PRICING_BROADMATCH,1,1,0
REGULATION_BROADMATCH,12,8,4
REGULATION_PHRASEMATCH,20,23,1
RETARGETING FORM 2025,5,0,0
SERVICED ACCOMMODATION FORM,5,2,0
SERVICED ACCOMMODATION FORM - OOA & OTHER AREAS,1,0,0
SERVICED_ACCOMMODATION_THEME_PHRASE_LIVERPOOL_CAMPAIGN,1,0,0
STAY,1,0,0
STAY unique stays,0,1,0
Short_Term_Rentals_Broad_Match,58,4,1
WINDEMERE_LAKE_DISTRICT_AD_BROAD,1,0,0
WORCESTER_HOUSEKEEPING_BROADMATCH,2,0,0
WORCESTER_LOCAL_EXPERTS_BROADMATCH,1,2,0
WORCESTER_SEARCH_BROAD,8,2,0
YORKSHIRE_KEYWORD_BROADMATCH,10,2,2
domain_click,0,1,0
linkinbio,0,1,0
looking for a job,1,0,0
